#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 350 152
# Band-Index:    1
   0.00000    -43.447055    -43.447051
   0.01493    -43.447053    -43.447048
   0.02986    -43.447050    -43.447045
   0.04480    -43.447045    -43.447041
   0.05973    -43.447039    -43.447035
   0.07466    -43.447033    -43.447028
   0.08959    -43.447024    -43.447019
   0.10452    -43.447013    -43.447009
   0.11946    -43.447002    -43.446997
   0.13439    -43.446989    -43.446985
   0.14932    -43.446975    -43.446970
   0.16425    -43.446960    -43.446955
   0.17918    -43.446942    -43.446937
   0.19412    -43.446922    -43.446917
   0.20905    -43.446900    -43.446895
   0.22398    -43.446878    -43.446872
   0.23891    -43.446855    -43.446849
   0.25384    -43.446834    -43.446827
   0.26878    -43.446819    -43.446811
   0.28371    -43.446831    -43.446820
   0.29864    -43.446904    -43.446894
   0.31357    -43.447021    -43.447013
   0.32850    -43.447152    -43.447145
   0.34343    -43.447283    -43.447277
   0.35837    -43.447414    -43.447409
   0.37330    -43.447542    -43.447537
   0.38823    -43.447667    -43.447662
   0.40316    -43.447788    -43.447783
   0.41809    -43.447905    -43.447900
   0.43303    -43.448018    -43.448013
   0.44796    -43.448126    -43.448121
   0.46289    -43.448229    -43.448224
   0.47782    -43.448327    -43.448322
   0.49275    -43.448421    -43.448416
   0.50769    -43.448510    -43.448505
   0.52262    -43.448594    -43.448589
   0.53755    -43.448672    -43.448668
   0.55248    -43.448746    -43.448742
   0.56741    -43.448814    -43.448810
   0.58235    -43.448877    -43.448872
   0.59728    -43.448933    -43.448929
   0.61221    -43.448984    -43.448980
   0.62714    -43.449029    -43.449024
   0.64207    -43.449068    -43.449063
   0.65701    -43.449101    -43.449096
   0.67194    -43.449128    -43.449123
   0.68687    -43.449148    -43.449144
   0.70180    -43.449162    -43.449158
   0.71673    -43.449171    -43.449167
   0.73167    -43.449174    -43.449170
   0.73167    -43.449174    -43.449170
   0.74028    -43.449172    -43.449168
   0.74889    -43.449166    -43.449161
   0.75750    -43.449156    -43.449151
   0.76612    -43.449141    -43.449136
   0.77473    -43.449121    -43.449116
   0.78334    -43.449096    -43.449092
   0.79195    -43.449067    -43.449063
   0.80056    -43.449034    -43.449030
   0.80918    -43.448996    -43.448992
   0.81779    -43.448954    -43.448950
   0.82640    -43.448909    -43.448904
   0.83501    -43.448858    -43.448854
   0.84363    -43.448804    -43.448800
   0.85224    -43.448746    -43.448741
   0.86085    -43.448684    -43.448680
   0.86946    -43.448618    -43.448614
   0.87808    -43.448547    -43.448543
   0.88669    -43.448472    -43.448468
   0.89530    -43.448393    -43.448389
   0.90391    -43.448311    -43.448306
   0.91253    -43.448224    -43.448219
   0.92114    -43.448134    -43.448129
   0.92975    -43.448041    -43.448036
   0.93836    -43.447944    -43.447939
   0.94697    -43.447843    -43.447838
   0.95559    -43.447738    -43.447733
   0.96420    -43.447630    -43.447625
   0.97281    -43.447518    -43.447512
   0.98142    -43.447404    -43.447398
   0.99004    -43.447287    -43.447282
   0.99865    -43.447169    -43.447163
   1.00726    -43.447052    -43.447045
   1.01587    -43.446935    -43.446928
   1.02449    -43.446825    -43.446817
   1.03310    -43.446736    -43.446727
   1.04171    -43.446688    -43.446683
   1.05032    -43.446678    -43.446675
   1.05894    -43.446682    -43.446679
   1.06755    -43.446692    -43.446690
   1.07616    -43.446704    -43.446702
   1.08477    -43.446718    -43.446716
   1.09338    -43.446733    -43.446731
   1.10200    -43.446747    -43.446745
   1.11061    -43.446759    -43.446758
   1.11922    -43.446769    -43.446768
   1.12783    -43.446777    -43.446776
   1.13645    -43.446783    -43.446781
   1.14506    -43.446786    -43.446785
   1.15367    -43.446788    -43.446786
   1.15367    -43.446788    -43.446786
   1.17092    -43.446787    -43.446786
   1.18817    -43.446786    -43.446785
   1.20542    -43.446784    -43.446783
   1.22267    -43.446782    -43.446780
   1.23992    -43.446780    -43.446778
   1.25717    -43.446779    -43.446776
   1.27443    -43.446780    -43.446776
   1.29168    -43.446781    -43.446777
   1.30893    -43.446784    -43.446779
   1.32618    -43.446787    -43.446781
   1.34343    -43.446792    -43.446785
   1.36068    -43.446801    -43.446792
   1.37793    -43.446815    -43.446805
   1.39518    -43.446843    -43.446830
   1.41243    -43.446889    -43.446876
   1.42968    -43.446949    -43.446936
   1.44693    -43.447013    -43.447001
   1.46418    -43.447071    -43.447060
   1.48143    -43.447121    -43.447111
   1.49868    -43.447162    -43.447152
   1.51593    -43.447191    -43.447181
   1.53318    -43.447207    -43.447198
   1.55043    -43.447210    -43.447201
   1.56768    -43.447201    -43.447192
   1.58494    -43.447179    -43.447169
   1.60219    -43.447145    -43.447135
   1.61944    -43.447099    -43.447088
   1.63669    -43.447044    -43.447032
   1.65394    -43.446985    -43.446972
   1.67119    -43.446932    -43.446919
   1.68844    -43.446900    -43.446889
   1.70569    -43.446889    -43.446880
   1.72294    -43.446890    -43.446882
   1.74019    -43.446897    -43.446890
   1.75744    -43.446907    -43.446900
   1.77469    -43.446919    -43.446913
   1.79194    -43.446932    -43.446926
   1.80919    -43.446945    -43.446939
   1.82644    -43.446959    -43.446954
   1.84369    -43.446974    -43.446968
   1.86094    -43.446987    -43.446982
   1.87819    -43.447001    -43.446995
   1.89545    -43.447013    -43.447008
   1.91270    -43.447025    -43.447019
   1.92995    -43.447033    -43.447028
   1.94720    -43.447040    -43.447035
   1.96445    -43.447046    -43.447040
   1.98170    -43.447049    -43.447045
   1.99895    -43.447055    -43.447051
   1.99895    -43.447055    -43.447051
   2.00367    -43.447054    -43.447050
   2.00838    -43.447052    -43.447048
   2.01310    -43.447050    -43.447046
   2.01782    -43.447047    -43.447043
   2.02254    -43.447043    -43.447039
   2.02726    -43.447039    -43.447035
   2.03197    -43.447033    -43.447029
   2.03669    -43.447027    -43.447023
   2.04141    -43.447020    -43.447016
   2.04613    -43.447012    -43.447008
   2.05084    -43.447004    -43.447000
   2.05556    -43.446994    -43.446990
   2.06028    -43.446984    -43.446980
   2.06500    -43.446974    -43.446970
   2.06972    -43.446962    -43.446958
   2.07443    -43.446949    -43.446945
   2.07915    -43.446936    -43.446932
   2.08387    -43.446921    -43.446917
   2.08859    -43.446906    -43.446902
   2.09330    -43.446891    -43.446886
   2.09802    -43.446874    -43.446870
   2.10274    -43.446857    -43.446852
   2.10746    -43.446838    -43.446834
   2.11217    -43.446819    -43.446815
   2.11689    -43.446800    -43.446796
   2.12161    -43.446779    -43.446775
   2.12633    -43.446758    -43.446754
   2.13105    -43.446736    -43.446732
   2.13576    -43.446714    -43.446709
   2.14048    -43.446690    -43.446686
   2.14520    -43.446666    -43.446662
   2.14992    -43.446642    -43.446637
   2.15463    -43.446616    -43.446612
   2.15935    -43.446590    -43.446585
   2.16407    -43.446563    -43.446558
   2.16879    -43.446536    -43.446531
   2.17351    -43.446508    -43.446503
   2.17822    -43.446479    -43.446474
   2.18294    -43.446450    -43.446445
   2.18766    -43.446421    -43.446415
   2.19238    -43.446392    -43.446386
   2.19709    -43.446362    -43.446356
   2.20181    -43.446332    -43.446326
   2.20653    -43.446303    -43.446296
   2.21125    -43.446274    -43.446266
   2.21597    -43.446248    -43.446239
   2.22068    -43.446226    -43.446216
   2.22540    -43.446210    -43.446199
   2.23012    -43.446204    -43.446193
   2.23012    -43.446204    -43.446193
   2.24505    -43.446244    -43.446235
   2.25998    -43.446326    -43.446319
   2.27491    -43.446420    -43.446414
   2.28985    -43.446516    -43.446511
   2.30478    -43.446614    -43.446608
   2.31971    -43.446710    -43.446705
   2.33464    -43.446805    -43.446800
   2.34957    -43.446899    -43.446894
   2.36451    -43.446991    -43.446986
   2.37944    -43.447081    -43.447077
   2.39437    -43.447170    -43.447165
   2.40930    -43.447256    -43.447252
   2.42423    -43.447340    -43.447335
   2.43917    -43.447421    -43.447417
   2.45410    -43.447500    -43.447495
   2.46903    -43.447576    -43.447571
   2.48396    -43.447649    -43.447645
   2.49889    -43.447720    -43.447716
   2.51383    -43.447788    -43.447784
   2.52876    -43.447854    -43.447849
   2.54369    -43.447915    -43.447911
   2.55862    -43.447973    -43.447969
   2.57355    -43.448028    -43.448023
   2.58849    -43.448079    -43.448074
   2.60342    -43.448126    -43.448121
   2.61835    -43.448169    -43.448165
   2.63328    -43.448209    -43.448205
   2.64821    -43.448245    -43.448241
   2.66314    -43.448277    -43.448272
   2.67808    -43.448305    -43.448300
   2.69301    -43.448328    -43.448323
   2.70794    -43.448347    -43.448342
   2.72287    -43.448362    -43.448357
   2.73780    -43.448373    -43.448368
   2.75274    -43.448379    -43.448374
   2.76767    -43.448381    -43.448376
   2.78260    -43.448378    -43.448373
   2.79753    -43.448370    -43.448365
   2.81246    -43.448357    -43.448352
   2.82740    -43.448338    -43.448333
   2.84233    -43.448315    -43.448310
   2.85726    -43.448286    -43.448281
   2.87219    -43.448254    -43.448248
   2.88712    -43.448217    -43.448211
   2.90206    -43.448176    -43.448169
   2.91699    -43.448132    -43.448125
   2.93192    -43.448089    -43.448080
   2.94685    -43.448051    -43.448041
   2.96178    -43.448034    -43.448023
   2.96178    -43.448034    -43.448023
   2.97040    -43.448034    -43.448023
   2.97901    -43.448032    -43.448021
   2.98762    -43.448029    -43.448018
   2.99623    -43.448025    -43.448014
   3.00485    -43.448020    -43.448009
   3.01346    -43.448014    -43.448003
   3.02207    -43.448006    -43.447995
   3.03068    -43.447998    -43.447987
   3.03930    -43.447987    -43.447976
   3.04791    -43.447975    -43.447964
   3.05652    -43.447962    -43.447951
   3.06513    -43.447946    -43.447935
   3.07374    -43.447930    -43.447919
   3.08236    -43.447913    -43.447902
   3.09097    -43.447894    -43.447883
   3.09958    -43.447873    -43.447862
   3.10819    -43.447850    -43.447839
   3.11681    -43.447825    -43.447814
   3.12542    -43.447798    -43.447787
   3.13403    -43.447768    -43.447758
   3.14264    -43.447737    -43.447726
   3.15126    -43.447704    -43.447693
   3.15987    -43.447668    -43.447658
   3.16848    -43.447630    -43.447620
   3.17709    -43.447590    -43.447579
   3.18571    -43.447548    -43.447537
   3.19432    -43.447502    -43.447492
   3.20293    -43.447455    -43.447445
   3.21154    -43.447404    -43.447394
   3.22015    -43.447352    -43.447342
   3.22877    -43.447297    -43.447287
   3.23738    -43.447240    -43.447230
   3.24599    -43.447181    -43.447171
   3.25460    -43.447119    -43.447109
   3.26322    -43.447054    -43.447044
   3.27183    -43.446987    -43.446977
   3.28044    -43.446918    -43.446908
   3.28905    -43.446846    -43.446836
   3.29767    -43.446771    -43.446761
   3.30628    -43.446694    -43.446684
   3.31489    -43.446615    -43.446605
   3.32350    -43.446535    -43.446525
   3.33212    -43.446452    -43.446442
   3.34073    -43.446369    -43.446359
   3.34934    -43.446285    -43.446275
   3.35795    -43.446203    -43.446193
   3.36656    -43.446125    -43.446115
   3.37518    -43.446057    -43.446051
   3.38379    -43.446024    -43.446023
   3.38379    -43.446024    -43.446023
   3.40104    -43.446087    -43.446080
   3.41829    -43.446193    -43.446185
   3.43554    -43.446309    -43.446301
   3.45279    -43.446423    -43.446416
   3.47004    -43.446531    -43.446524
   3.48729    -43.446629    -43.446622
   3.50454    -43.446716    -43.446709
   3.52179    -43.446789    -43.446781
   3.53904    -43.446848    -43.446840
   3.55630    -43.446893    -43.446886
   3.57355    -43.446924    -43.446916
   3.59080    -43.446941    -43.446934
   3.60805    -43.446944    -43.446936
   3.62530    -43.446934    -43.446925
   3.64255    -43.446912    -43.446903
   3.65980    -43.446882    -43.446872
   3.67705    -43.446848    -43.446836
   3.69430    -43.446820    -43.446807
   3.71155    -43.446814    -43.446800
   3.72880    -43.446834    -43.446820
   3.74605    -43.446869    -43.446856
   3.76330    -43.446910    -43.446899
   3.78055    -43.446955    -43.446944
   3.79780    -43.446999    -43.446990
   3.81505    -43.447043    -43.447034
   3.83230    -43.447083    -43.447074
