kx	ky	Q3(up)
0.201694	0.349345	0.179392
0.212899	0.355814	0.179683
0.224105	0.362283	0.180543
0.23531	0.368753	0.181908
0.246515	0.375222	0.183659
0.25772	0.381691	0.185622
0.268926	0.388161	0.187574
0.280131	0.39463	0.189252
0.291336	0.401099	0.190394
0.302541	0.407569	0.190801
0.112052	0.29759	0.190395
0.123258	0.304059	0.189252
0.134463	0.310529	0.187574
0.145668	0.316998	0.185622
0.156873	0.323467	0.183659
0.168078	0.329937	0.181908
0.179284	0.336406	0.180544
0.190489	0.342875	0.179684
0.201694	0.362283	0.179684
0.212899	0.368753	0.180261
0.224105	0.375222	0.181376
0.23531	0.381691	0.182944
0.246515	0.388161	0.18482
0.25772	0.39463	0.186805
0.268926	0.401099	0.188652
0.280131	0.407569	0.190091
0.291336	0.414038	0.190884
0.302541	0.420507	0.190884
0.112052	0.310529	0.190092
0.123258	0.316998	0.188652
0.134463	0.323467	0.186805
0.145668	0.329937	0.18482
0.156873	0.336406	0.182944
0.168078	0.342875	0.181376
0.179284	0.349345	0.18026
0.190489	0.355814	0.179683
0.201694	0.375222	0.180544
0.212899	0.381691	0.181376
0.224105	0.388161	0.182704
0.23531	0.39463	0.18442
0.246515	0.401099	0.186358
0.25772	0.407569	0.188292
0.268926	0.414038	0.189959
0.280131	0.420507	0.191095
0.291336	0.426977	0.191499
0.302541	0.433446	0.191095
0.112052	0.323467	0.189959
0.123258	0.329937	0.188292
0.134463	0.336406	0.186358
0.145668	0.342875	0.18442
0.156873	0.349345	0.182704
0.168078	0.355814	0.181376
0.179284	0.362283	0.180543
0.190489	0.368753	0.180261
0.201694	0.388161	0.181908
0.212899	0.39463	0.182944
0.224105	0.401099	0.18442
0.23531	0.407569	0.186212
0.246515	0.414038	0.188131
0.25772	0.420508	0.18993
0.268926	0.426977	0.191335
0.280131	0.433446	0.19211
0.291336	0.439916	0.19211
0.302541	0.446385	0.191336
0.112052	0.336406	0.189929
0.123258	0.342875	0.188131
0.134463	0.349345	0.186212
0.145668	0.355814	0.18442
0.156873	0.362283	0.182944
0.168078	0.368753	0.181908
0.179284	0.375222	0.181376
0.190489	0.381691	0.181376
0.201694	0.401099	0.183658
0.212899	0.407569	0.18482
0.224105	0.414038	0.186358
0.23531	0.420507	0.188131
0.246515	0.426977	0.18993
0.25772	0.433446	0.191493
0.268926	0.439915	0.192561
0.280131	0.446385	0.192942
0.291336	0.452854	0.192561
0.302541	0.459323	0.191493
0.112052	0.349345	0.18993
0.123258	0.355814	0.188131
0.134463	0.362283	0.186357
0.145668	0.368753	0.18482
0.156873	0.375222	0.183659
0.168078	0.381691	0.182944
0.179284	0.388161	0.182704
0.190489	0.39463	0.182944
0.201694	0.414038	0.185622
0.212899	0.420507	0.186805
0.224105	0.426977	0.188292
0.23531	0.433446	0.18993
0.246515	0.439916	0.191493
0.25772	0.446385	0.192728
0.268926	0.452854	0.193412
0.280131	0.459324	0.193411
0.291336	0.465793	0.192728
0.302541	0.472262	0.191493
0.112052	0.362283	0.18993
0.123258	0.368753	0.188292
0.134463	0.375222	0.186805
0.145668	0.381691	0.185622
0.156873	0.388161	0.18482
0.168078	0.39463	0.18442
0.179284	0.401099	0.18442
0.190489	0.407569	0.18482
0.201694	0.426977	0.187574
0.212899	0.433446	0.188652
0.224105	0.439915	0.18996
0.23531	0.446385	0.191336
0.246515	0.452854	0.192561
0.25772	0.459323	0.193411
0.268926	0.465793	0.193716
0.280131	0.472262	0.193411
0.291336	0.478731	0.192561
0.302541	0.485201	0.191336
0.112052	0.375222	0.189959
0.123258	0.381691	0.188652
0.134463	0.388161	0.187573
0.145668	0.39463	0.186805
0.156873	0.401099	0.186357
0.168078	0.407569	0.186212
0.179284	0.414038	0.186357
0.190489	0.420507	0.186805
0.201694	0.439916	0.189252
0.212899	0.446385	0.190091
0.224105	0.452854	0.191095
0.23531	0.459324	0.19211
0.246515	0.465793	0.192941
0.25772	0.472262	0.193412
0.268926	0.478732	0.193411
0.280131	0.485201	0.192941
0.291336	0.49167	0.192109
0.302541	0.49814	0.191095
0.112052	0.388161	0.190092
0.123258	0.39463	0.189252
0.134463	0.401099	0.188652
0.145668	0.407569	0.188292
0.156873	0.414038	0.188131
0.168078	0.420507	0.188131
0.179284	0.426977	0.188292
0.190489	0.433446	0.188652
0.201694	0.452854	0.190394
0.212899	0.459323	0.190884
0.224105	0.465793	0.191499
0.23531	0.472262	0.192109
0.246515	0.478731	0.192561
0.25772	0.485201	0.192728
0.268926	0.49167	0.192561
0.280131	0.498139	0.19211
0.291336	0.504609	0.191499
0.302541	0.511078	0.190884
0.112052	0.401099	0.190394
0.123258	0.407569	0.190091
0.134463	0.414038	0.189959
0.145668	0.420507	0.189929
0.156873	0.426977	0.18993
0.168078	0.433446	0.189929
0.179284	0.439915	0.189959
0.190489	0.446385	0.190091
0.201694	0.465793	0.1908
0.212899	0.472262	0.190884
0.224105	0.478732	0.191095
0.23531	0.485201	0.191336
0.246515	0.49167	0.191493
0.25772	0.49814	0.191493
0.268926	0.504609	0.191336
0.280131	0.511078	0.191095
0.291336	0.517548	0.190884
0.302541	0.524017	0.190801
0.112052	0.414038	0.190884
0.123258	0.420507	0.191095
0.134463	0.426977	0.191336
0.145668	0.433446	0.191493
0.156873	0.439916	0.191493
0.168078	0.446385	0.191336
0.179284	0.452854	0.191095
0.190489	0.459324	0.190884
0.201694	0.245835	0.190394
0.212899	0.252305	0.190091
0.224105	0.258774	0.189959
0.23531	0.265243	0.189929
0.246515	0.271713	0.18993
0.25772	0.278182	0.18993
0.268926	0.284651	0.189959
0.280131	0.291121	0.190091
0.291336	0.29759	0.190394
0.302541	0.304059	0.190884
0.112052	0.194081	0.191498
0.123258	0.20055	0.19211
0.134463	0.207019	0.192561
0.145668	0.213488	0.192728
0.156873	0.219958	0.192561
0.168078	0.226427	0.192109
0.179284	0.232897	0.191499
0.190489	0.239366	0.190884
0.201694	0.258774	0.189252
0.212899	0.265243	0.188652
0.224105	0.271712	0.188292
0.23531	0.278182	0.188131
0.246515	0.284651	0.188132
0.25772	0.291121	0.188292
0.268926	0.29759	0.188652
0.280131	0.304059	0.189252
0.291336	0.310528	0.190091
0.302541	0.316998	0.191095
0.112052	0.207019	0.19211
0.123258	0.213488	0.192941
0.134463	0.219958	0.193411
0.145668	0.226427	0.193411
0.156873	0.232896	0.192941
0.168078	0.239366	0.192109
0.179284	0.245835	0.191095
0.190489	0.252304	0.190092
0.201694	0.271713	0.187574
0.212899	0.278182	0.186805
0.224105	0.284651	0.186358
0.23531	0.291121	0.186212
0.246515	0.29759	0.186358
0.25772	0.304059	0.186805
0.268926	0.310529	0.187574
0.280131	0.316998	0.188652
0.291336	0.323467	0.189959
0.302541	0.329937	0.191336
0.112052	0.219958	0.192561
0.123258	0.226427	0.193411
0.134463	0.232897	0.193716
0.145668	0.239366	0.193412
0.156873	0.245835	0.192561
0.168078	0.252305	0.191335
0.179284	0.258774	0.189959
0.190489	0.265243	0.188652
0.201694	0.284651	0.185622
0.212899	0.29112	0.18482
0.224105	0.29759	0.18442
0.23531	0.304059	0.18442
0.246515	0.310528	0.18482
0.25772	0.316998	0.185622
0.268926	0.323467	0.186805
0.280131	0.329937	0.188292
0.291336	0.336406	0.18993
0.302541	0.342875	0.191493
0.112052	0.232896	0.192728
0.123258	0.239366	0.193411
0.134463	0.245835	0.193411
0.145668	0.252304	0.192728
0.156873	0.258774	0.191493
0.168078	0.265243	0.18993
0.179284	0.271712	0.188292
0.190489	0.278182	0.186805
0.201694	0.29759	0.183659
0.212899	0.304059	0.182944
0.224105	0.310529	0.182704
0.23531	0.316998	0.182944
0.246515	0.323467	0.183658
0.25772	0.329937	0.18482
0.268926	0.336406	0.186358
0.280131	0.342875	0.188131
0.291336	0.349345	0.18993
0.302541	0.355814	0.191493
0.112052	0.245835	0.192561
0.123258	0.252305	0.192942
0.134463	0.258774	0.192561
0.145668	0.265243	0.191493
0.156873	0.271713	0.18993
0.168078	0.278182	0.188131
0.179284	0.284651	0.186358
0.190489	0.291121	0.18482
0.201694	0.310528	0.181908
0.212899	0.316998	0.181376
0.224105	0.323467	0.181376
0.23531	0.329937	0.181908
0.246515	0.336406	0.182944
0.25772	0.342875	0.18442
0.268926	0.349345	0.186212
