charge density	Z(up)	Z(down)
0	-15.1527	-15.1527
0	-15.0921	-15.0921
0	-15.0315	-15.0315
0	-14.9709	-14.9709
0	-14.9102	-14.9102
0	-14.8496	-14.8496
0	-14.789	-14.789
0	-14.7284	-14.7284
0	-14.6678	-14.6678
0	-14.6072	-14.6072
0	-14.5466	-14.5466
0	-14.486	-14.486
0	-14.4254	-14.4254
0	-14.3647	-14.3647
0	-14.3041	-14.3041
0	-14.2435	-14.2435
0	-14.1829	-14.1829
0	-14.1223	-14.1223
0	-14.0617	-14.0617
0	-14.0011	-14.0011
0	-13.9405	-13.9405
0	-13.8799	-13.8799
0	-13.8192	-13.8192
0	-13.7586	-13.7586
0	-13.698	-13.698
0	-13.6374	-13.6374
0	-13.5768	-13.5768
0	-13.5162	-13.5162
0	-13.4556	-13.4556
0	-13.395	-13.395
0	-13.3344	-13.3344
0	-13.2738	-13.2738
0	-13.2131	-13.2131
0	-13.1525	-13.1525
0	-13.0919	-13.0919
0	-13.0313	-13.0313
0	-12.9707	-12.9707
0	-12.9101	-12.9101
0	-12.8495	-12.8495
0	-12.7889	-12.7889
0	-12.7283	-12.7283
0	-12.6676	-12.6676
0	-12.607	-12.607
0	-12.5464	-12.5464
0	-12.4858	-12.4858
0	-12.4252	-12.4252
0	-12.3646	-12.3646
0	-12.304	-12.304
0	-12.2434	-12.2434
0	-12.1828	-12.1828
0	-12.1221	-12.1221
0	-12.0615	-12.0615
0	-12.0009	-12.0009
0	-11.9403	-11.9403
0	-11.8797	-11.8797
0	-11.8191	-11.8191
0	-11.7585	-11.7585
0	-11.6979	-11.6979
0	-11.6373	-11.6373
0	-11.5767	-11.5767
0	-11.516	-11.516
0	-11.4554	-11.4554
0	-11.3948	-11.3948
0	-11.3342	-11.3342
0	-11.2736	-11.2736
0	-11.213	-11.213
0	-11.1524	-11.1524
0	-11.0918	-11.0918
0	-11.0312	-11.0312
0	-10.9705	-10.9705
0	-10.9099	-10.9099
0	-10.8493	-10.8493
0	-10.7887	-10.7887
0	-10.7281	-10.7281
0	-10.6675	-10.6675
0	-10.6069	-10.6069
0	-10.5463	-10.5463
0.0000103252	-10.4857	-10.4857
0.000012273	-10.425	-10.425
0.0000145345	-10.3644	-10.3644
0.0000171708	-10.3038	-10.3038
0.0000202806	-10.2432	-10.2432
0.0000239942	-10.1826	-10.1826
0.0000284581	-10.122	-10.122
0.0000338193	-10.0614	-10.0614
0.0000402189	-10.0008	-10.0008
0.0000478028	-9.94016	-9.94016
0.0000567481	-9.87955	-9.87955
0.0000672963	-9.81894	-9.81894
0.0000797793	-9.75833	-9.75833
0.000094626	-9.69772	-9.69772
0.000112351	-9.63711	-9.63711
0.000133533	-9.5765	-9.5765
0.000158803	-9.51589	-9.51589
0.000188856	-9.45528	-9.45528
0.000224506	-9.39467	-9.39467
0.000266757	-9.33405	-9.33405
0.00031689	-9.27344	-9.27344
0.000376514	-9.21283	-9.21283
0.000447584	-9.15222	-9.15222
0.000532386	-9.09161	-9.09161
0.000633529	-9.031	-9.031
0.000753988	-8.97039	-8.97039
0.00089723	-8.90978	-8.90978
0.00106744	-8.84917	-8.84917
0.00126976	-8.78856	-8.78856
0.00151055	-8.72795	-8.72795
0.00179752	-8.66734	-8.66734
0.00213982	-8.60673	-8.60673
0.00254813	-8.54611	-8.54611
0.00303481	-8.4855	-8.4855
0.00361441	-8.42489	-8.42489
0.00430431	-8.36428	-8.36428
0.00512565	-8.30367	-8.30367
0.00610422	-8.24306	-8.24306
0.00727129	-8.18245	-8.18245
0.0086642	-8.12184	-8.12184
0.010327	-8.06123	-8.06123
0.0123114	-8.00062	-8.00062
0.0146785	-7.94001	-7.94001
0.0175012	-7.8794	-7.8794
0.0208679	-7.81879	-7.81879
0.0248858	-7.75817	-7.75817
0.0296853	-7.69756	-7.69756
0.0354228	-7.63695	-7.63695
0.0422846	-7.57634	-7.57634
0.0504913	-7.51573	-7.51573
0.0603046	-7.45512	-7.45512
0.072037	-7.39451	-7.39451
0.086065	-7.3339	-7.3339
0.102843	-7.27329	-7.27329
0.122921	-7.21268	-7.21268
0.146952	-7.15207	-7.15207
0.175712	-7.09146	-7.09146
0.210106	-7.03085	-7.03085
0.251191	-6.97024	-6.97024
0.300194	-6.90962	-6.90962
0.358547	-6.84901	-6.84901
0.427917	-6.7884	-6.7884
0.510222	-6.72779	-6.72779
0.607632	-6.66718	-6.66718
0.722521	-6.60657	-6.60657
0.857394	-6.54596	-6.54596
1.01476	-6.48535	-6.48535
1.19703	-6.42474	-6.42474
1.40636	-6.36413	-6.36413
1.64456	-6.30352	-6.30352
1.91265	-6.24291	-6.24291
2.20913	-6.1823	-6.1823
2.52913	-6.12168	-6.12168
2.86494	-6.06107	-6.06107
3.20661	-6.00046	-6.00046
3.54279	-5.93985	-5.93985
3.86162	-5.87924	-5.87924
4.15165	-5.81863	-5.81863
4.40293	-5.75802	-5.75802
4.60791	-5.69741	-5.69741
4.76242	-5.6368	-5.6368
4.8663	-5.57619	-5.57619
4.92373	-5.51558	-5.51558
4.94298	-5.45497	-5.45497
4.93572	-5.39436	-5.39436
4.91576	-5.33375	-5.33375
4.89741	-5.27313	-5.27313
4.8937	-5.21252	-5.21252
4.91469	-5.15191	-5.15191
4.96609	-5.0913	-5.0913
5.04847	-5.03069	-5.03069
5.15728	-4.97008	-4.97008
5.2835	-4.90947	-4.90947
5.41515	-4.84886	-4.84886
5.53924	-4.78825	-4.78825
5.64391	-4.72764	-4.72764
5.72037	-4.66703	-4.66703
5.76439	-4.60642	-4.60642
5.77691	-4.54581	-4.54581
5.76802	-4.48519	-4.48519
5.76873	-4.42458	-4.42458
5.82674	-4.36397	-4.36397
5.99374	-4.30336	-4.30336
6.31458	-4.24275	-4.24275
6.82082	-4.18214	-4.18214
7.52827	-4.12153	-4.12153
8.43636	-4.06092	-4.06092
9.52701	-4.00031	-4.00031
10.7617	-3.9397	-3.9397
12.0783	-3.87909	-3.87909
13.3908	-3.81848	-3.81848
14.5947	-3.75787	-3.75787
15.5779	-3.69726	-3.69726
16.2381	-3.63664	-3.63664
16.5011	-3.57603	-3.57603
16.3362	-3.51542	-3.51542
15.7629	-3.45481	-3.45481
14.8465	-3.3942	-3.3942
13.6846	-3.33359	-3.33359
12.3887	-3.27298	-3.27298
11.0662	-3.21237	-3.21237
9.80793	-3.15176	-3.15176
8.68159	-3.09115	-3.09115
7.73073	-3.03054	-3.03054
6.97767	-2.96993	-2.96993
6.4267	-2.90932	-2.90932
6.06565	-2.8487	-2.8487
5.86643	-2.78809	-2.78809
5.78681	-2.72748	-2.72748
5.77591	-2.66687	-2.66687
5.78412	-2.60626	-2.60626
5.77576	-2.54565	-2.54565
5.73699	-2.48504	-2.48504
5.66572	-2.42443	-2.42443
5.56522	-2.36382	-2.36382
5.44348	-2.30321	-2.30321
5.3119	-2.2426	-2.2426
