#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 306 104
# Band-Index:    1
   0.00000    -14.409829    -14.409829
   0.01216    -14.412705    -14.412705
   0.02432    -14.420962    -14.420962
   0.03648    -14.433671    -14.433671
   0.04864    -14.449750    -14.449750
   0.06080    -14.468236    -14.468236
   0.07296    -14.488382    -14.488382
   0.08512    -14.509638    -14.509638
   0.09728    -14.531614    -14.531614
   0.10944    -14.554023    -14.554023
   0.12160    -14.576658    -14.576658
   0.13376    -14.599366    -14.599366
   0.14592    -14.622027    -14.622027
   0.15808    -14.644548    -14.644548
   0.17024    -14.666856    -14.666856
   0.18240    -14.688889    -14.688889
   0.19456    -14.710596    -14.710596
   0.20672    -14.731938    -14.731938
   0.21888    -14.752882    -14.752882
   0.23104    -14.773391    -14.773391
   0.24320    -14.793437    -14.793437
   0.25536    -14.812994    -14.812994
   0.26752    -14.832042    -14.832042
   0.27968    -14.850559    -14.850559
   0.29184    -14.868531    -14.868531
   0.30400    -14.885938    -14.885938
   0.31616    -14.902764    -14.902764
   0.32832    -14.918994    -14.918994
   0.34048    -14.934616    -14.934616
   0.35264    -14.949619    -14.949619
   0.36480    -14.963989    -14.963990
   0.37696    -14.977718    -14.977718
   0.38912    -14.990793    -14.990793
   0.40128    -15.003210    -15.003210
   0.41344    -15.014960    -15.014960
   0.42560    -15.026039    -15.026039
   0.43776    -15.036434    -15.036434
   0.44992    -15.046141    -15.046141
   0.46208    -15.055152    -15.055152
   0.47424    -15.063463    -15.063463
   0.48640    -15.071067    -15.071067
   0.49856    -15.077960    -15.077960
   0.51072    -15.084136    -15.084136
   0.52288    -15.089593    -15.089593
   0.53504    -15.094329    -15.094329
   0.54720    -15.098340    -15.098340
   0.55936    -15.101624    -15.101624
   0.57152    -15.104179    -15.104179
   0.58368    -15.106004    -15.106004
   0.59584    -15.107098    -15.107098
   0.60800    -15.107459    -15.107459
   0.60800    -15.107459    -15.107459
   0.62303    -15.106905    -15.106905
   0.63805    -15.105233    -15.105233
   0.65307    -15.102444    -15.102443
   0.66810    -15.098540    -15.098540
   0.68312    -15.093526    -15.093525
   0.69814    -15.087404    -15.087402
   0.71317    -15.080182    -15.080177
   0.72819    -15.071864    -15.071856
   0.74321    -15.062459    -15.062447
   0.75824    -15.051977    -15.051958
   0.77326    -15.040426    -15.040398
   0.78828    -15.027821    -15.027781
   0.80331    -15.014173    -15.014118
   0.81833    -14.999500    -14.999426
   0.83335    -14.983811    -14.983713
   0.84838    -14.967121    -14.966994
   0.86340    -14.949447    -14.949285
   0.87842    -14.930806    -14.930602
   0.89345    -14.911218    -14.910963
   0.90847    -14.890707    -14.890393
   0.92349    -14.869295    -14.868911
   0.93852    -14.847009    -14.846545
   0.95354    -14.823878    -14.823321
   0.96856    -14.799925    -14.799262
   0.98359    -14.775186    -14.774402
   0.99861    -14.749690    -14.748769
   1.01363    -14.723479    -14.722403
