kx	ky	Q3(down)
0.	0.	-0.0326196
0.00798121	0.00460795	-0.0309971
0.0159624	0.0092159	-0.0261098
0.0239436	0.0138238	-0.0179824
0.0319248	0.0184318	-0.00692531
0.039906	0.0230397	0.00614371
0.0478872	0.0276477	0.0196234
0.0558684	0.0322556	0.031723
0.0638496	0.0368636	0.0411755
0.0718308	0.0414715	0.0474575
0.0798119	0.0460794	0.05054
-0.0798119	-0.0460794	0.05054
-0.0718308	-0.0414715	0.0474575
-0.0638496	-0.0368636	0.0411755
-0.0558684	-0.0322556	0.031723
-0.0478872	-0.0276477	0.0196234
-0.039906	-0.0230397	0.00614373
-0.0319248	-0.0184318	-0.00692529
-0.0239436	-0.0138238	-0.0179824
-0.0159624	-0.0092159	-0.0261099
-0.00798121	-0.00460795	-0.030997
0.	0.00921591	-0.0309968
0.00798121	0.0138239	-0.0277521
0.0159624	0.0184318	-0.0212928
0.0239436	0.0230397	-0.0117637
0.0319248	0.0276477	0.000295787
0.039906	0.0322556	0.0136613
0.0478872	0.0368636	0.026577
0.0558684	0.0414715	0.0374329
0.0638496	0.0460795	0.0453135
0.0718308	0.0506874	0.0499668
0.0798119	0.0552954	0.0514882
-0.0798119	-0.0368635	0.0499657
-0.0718308	-0.0322556	0.0453113
-0.0638496	-0.0276476	0.0374304
-0.0558684	-0.0230397	0.0265742
-0.0478872	-0.0184318	0.0136593
-0.039906	-0.0138238	0.000294004
-0.0319248	-0.00921587	-0.0117652
-0.0239436	-0.00460793	-0.0212937
-0.0159624	          -9
9.67685 10	-0.0277521
-0.00798121	0.00460795	-0.0309968
0.	0.0184318	-0.0261107
0.00798121	0.0230398	-0.0212943
0.0159624	0.0276477	-0.0135058
0.0239436	0.0322556	-0.00303736
0.0319248	0.0368636	0.00938127
0.039906	0.0414715	0.0223483
0.0478872	0.0460795	0.0341476
0.0558684	0.0506874	0.0434434
0.0638496	0.0552954	0.0496231
0.0718308	0.0599033	0.0526385
0.0798119	0.0645112	0.0526381
-0.0798119	-0.0276476	0.0496204
-0.0718308	-0.0230397	0.0434391
-0.0638496	-0.0184318	0.0341421
-0.0558684	-0.0138238	0.0223433
-0.0478872	-0.00921587	0.00937712
-0.039906	-0.00460793	-0.00304111
-0.0319248	          -8
1.93537 10	-0.0135074
-0.0239436	0.00460796	-0.021295
-0.0159624	0.0092159	-0.0261113
-0.00798121	0.0138238	-0.0277522
0.	0.0276477	-0.0179852
0.00798121	0.0322556	-0.0117677
0.0159624	0.0368636	-0.0030401
0.0239436	0.0414715	0.00778284
0.0319248	0.0460794	0.019833
0.039906	0.0506874	0.0316756
0.0478872	0.0552953	0.0418024
0.0558684	0.0599033	0.0492232
0.0638496	0.0645112	0.0536105
0.0718308	0.0691192	0.0550426
0.0798119	0.0737271	0.0536076
-0.0798119	-0.0184318	0.0492174
-0.0718308	-0.0138238	0.0417956
-0.0638496	-0.00921589	0.0316683
-0.0558684	-0.00460794	0.0198269
-0.0478872	          -13
4.63386 10	0.00777761
-0.039906	0.00460794	-0.00304289
-0.0319248	0.00921589	-0.0117691
-0.0239436	0.0138238	-0.017987
-0.0159624	0.0184318	-0.0212962
-0.00798121	0.0230397	-0.0212951
0.	0.0368636	-0.00693093
0.00798121	0.0414715	0.000289872
0.0159624	0.0460795	0.00937616
0.0239436	0.0506874	0.0198301
0.0319248	0.0552953	0.0307212
0.039906	0.0599033	0.0407397
0.0478872	0.0645112	0.0487389
0.0558684	0.0691192	0.054122
0.0638496	0.0737271	0.0567784
0.0718308	0.0783351	0.0567768
0.0798119	0.082943	0.054117
-0.0798119	-0.00921589	0.0487312
-0.0718308	-0.00460794	0.0407308
-0.0638496	          -13
6.17846 10	0.0307122
-0.0558684	0.00460794	0.0198227
-0.0478872	0.00921589	0.0093706
-0.039906	0.0138238	0.000285848
-0.0319248	0.0184318	-0.00693369
-0.0239436	0.0230397	-0.0117712
-0.0159624	0.0276477	-0.0135105
-0.00798121	0.0322556	-0.0117688
0.	0.0460794	0.00613422
0.00798121	0.0506874	0.0136522
0.0159624	0.0552953	0.0223395
0.0239436	0.0599033	0.0316691
0.0319248	0.0645112	0.0407359
0.039906	0.0691192	0.0485001
0.0478872	0.0737271	0.0542482
0.0558684	0.0783351	0.0577105
0.0638496	0.082943	0.0588586
0.0718308	0.087551	0.0577067
0.0798119	0.0921589	0.0542414
-0.0798119	          -13
7.72313 10	0.0484908
-0.0718308	0.00460794	0.0407261
-0.0638496	0.00921589	0.0316596
-0.0558684	0.0138238	0.0223312
-0.0478872	0.0184318	0.013645
-0.039906	0.0230397	0.00612908
-0.0319248	0.0276477	0.000282928
-0.0239436	0.0322556	-0.00304774
-0.0159624	0.0368635	-0.003046
-0.00798121	0.0414715	0.000286594
0.	0.0552953	0.0196109
0.00798121	0.0599033	0.0265644
0.0159624	0.0645112	0.0341356
0.0239436	0.0691192	0.0417928
0.0319248	0.0737271	0.0487315
0.039906	0.0783351	0.0542445
0.0478872	0.082943	0.0579796
0.0558684	0.087551	0.0598464
0.0638496	0.0921589	0.0598445
0.0718308	0.0967668	0.0579737
0.0798119	0.101375	0.0542358
-0.0798119	0.00921589	0.0487214
-0.0718308	0.0138238	0.0417816
-0.0638496	0.0184318	0.0341246
-0.0558684	0.0230397	0.0265547
-0.0478872	0.0276477	0.019603
-0.039906	0.0322556	0.0136417
-0.0319248	0.0368636	0.00936518
-0.0239436	0.0414715	0.00777039
-0.0159624	0.0460794	0.00936818
-0.00798121	0.0506874	0.0136477
0.	0.0645112	0.0317087
0.00798121	0.0691192	0.0374185
0.0159624	0.0737271	0.0434305
0.0239436	0.0783351	0.0492108
0.0319248	0.082943	0.0541117
0.039906	0.087551	0.0577032
0.0478872	0.0921589	0.059843
0.0558684	0.0967668	0.0605453
0.0638496	0.101375	0.0598384
0.0718308	0.105983	0.0576954
0.0798119	0.110591	0.054101
-0.0798119	0.0184318	0.0491986
-0.0718308	0.0230397	0.0434173
-0.0638496	0.0276477	0.0374061
-0.0558684	0.0322556	0.0316975
-0.0478872	0.0368636	0.0265511
-0.039906	0.0414715	0.0223251
-0.0319248	0.0460794	0.0198138
-0.0239436	0.0506874	0.0198155
