kx	ky	Q3(up)
0.	0.	0.032624
0.00798121	0.00460795	0.0310012
0.0159624	0.0092159	0.0261159
0.0239436	0.0138238	0.0179915
0.0319248	0.0184318	0.00693953
0.039906	0.0230397	-0.00612293
0.0478872	0.0276477	-0.0195962
0.0558684	0.0322556	-0.03169
0.0638496	0.0368636	-0.0411373
0.0718308	0.0414715	-0.0474161
0.0798119	0.0460794	-0.0504975
-0.0798119	-0.0460794	-0.0504975
-0.0718308	-0.0414715	-0.0474161
-0.0638496	-0.0368636	-0.0411374
-0.0558684	-0.0322556	-0.03169
-0.0478872	-0.0276477	-0.0195962
-0.039906	-0.0230397	-0.00612291
-0.0319248	-0.0184318	0.00693952
-0.0239436	-0.0138238	0.0179915
-0.0159624	-0.0092159	0.0261159
-0.00798121	-0.00460795	0.0310011
0.	0.00921591	0.0310015
0.00798121	0.0138239	0.0277567
0.0159624	0.0184318	0.0213005
0.0239436	0.0230397	0.0117759
0.0319248	0.0276477	-0.000277553
0.039906	0.0322556	-0.0136363
0.0478872	0.0368636	-0.0265452
0.0558684	0.0414715	-0.0373964
0.0638496	0.0460795	-0.0452727
0.0718308	0.0506874	-0.0499242
0.0798119	0.0552954	-0.0514467
-0.0798119	-0.0368635	-0.0499255
-0.0718308	-0.0322556	-0.0452738
-0.0638496	-0.0276476	-0.0373973
-0.0558684	-0.0230397	-0.0265465
-0.0478872	-0.0184318	-0.0136377
-0.039906	-0.0138238	-0.000279
-0.0319248	-0.00921587	0.0117746
-0.0239436	-0.00460793	0.0213001
-0.0159624	          -9
9.67685 10	0.027757
-0.00798121	0.00460795	0.0310018
0.	0.0184318	0.026115
0.00798121	0.0230398	0.0212991
0.0159624	0.0276477	0.0135141
0.0239436	0.0322556	0.00305178
0.0319248	0.0368636	-0.00935982
0.039906	0.0414715	-0.0223198
0.0478872	0.0460795	-0.0341127
0.0558684	0.0506874	-0.0434055
0.0638496	0.0552954	-0.0495818
0.0718308	0.0599033	-0.0525975
0.0798119	0.0645112	-0.0525993
-0.0798119	-0.0276476	-0.0495842
-0.0718308	-0.0230397	-0.0434074
-0.0638496	-0.0184318	-0.0341151
-0.0558684	-0.0138238	-0.0223224
-0.0478872	-0.00921587	-0.00936258
