#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 204 192
# Band-Index:    1
   0.00000    -61.896397    -61.896397
   0.00948    -61.896397    -61.896397
   0.01895    -61.896397    -61.896397
   0.02843    -61.896397    -61.896397
   0.03791    -61.896397    -61.896397
   0.04738    -61.896397    -61.896397
   0.05686    -61.896397    -61.896397
   0.06634    -61.896397    -61.896397
   0.07582    -61.896397    -61.896397
   0.08529    -61.896397    -61.896397
   0.09477    -61.896397    -61.896397
   0.10425    -61.896397    -61.896397
   0.11372    -61.896397    -61.896397
   0.12320    -61.896397    -61.896397
   0.13268    -61.896397    -61.896397
   0.14215    -61.896397    -61.896397
   0.15163    -61.896397    -61.896397
   0.16111    -61.896397    -61.896397
   0.17058    -61.896397    -61.896397
   0.18006    -61.896397    -61.896397
   0.18954    -61.896397    -61.896397
   0.19901    -61.896396    -61.896396
   0.20849    -61.896396    -61.896396
   0.21797    -61.896396    -61.896396
   0.22745    -61.896396    -61.896396
   0.23692    -61.896397    -61.896397
   0.24640    -61.896397    -61.896397
   0.25588    -61.896397    -61.896397
   0.26535    -61.896397    -61.896397
   0.27483    -61.896397    -61.896397
   0.28431    -61.896397    -61.896397
   0.29378    -61.896397    -61.896397
   0.30326    -61.896397    -61.896397
   0.31274    -61.896396    -61.896396
   0.32221    -61.896396    -61.896396
   0.33169    -61.896396    -61.896396
   0.34117    -61.896396    -61.896396
   0.35065    -61.896396    -61.896396
   0.36012    -61.896396    -61.896396
   0.36960    -61.896396    -61.896396
   0.37908    -61.896396    -61.896396
   0.38855    -61.896396    -61.896396
   0.39803    -61.896396    -61.896396
   0.40751    -61.896396    -61.896396
   0.41698    -61.896396    -61.896396
   0.42646    -61.896396    -61.896396
   0.43594    -61.896396    -61.896396
   0.44541    -61.896396    -61.896396
   0.45489    -61.896396    -61.896396
   0.46437    -61.896396    -61.896396
   0.47385    -61.896396    -61.896396
   0.47385    -61.896396    -61.896396
   0.47932    -61.896396    -61.896396
   0.48479    -61.896396    -61.896396
   0.49026    -61.896396    -61.896396
   0.49573    -61.896396    -61.896396
   0.50120    -61.896396    -61.896396
   0.50667    -61.896396    -61.896396
