kx	Py(up)	Py(down)
0.	-0.01077	0.01077
0.418879	-0.00953061	0.00953061
0.837758	-0.00860315	0.00860315
1.25664	-0.00731882	0.00731882
1.67552	-0.00596647	0.00596647
2.0944	-0.00479019	0.00479019
2.51327	-0.00360342	0.00360343
2.93215	-0.00232549	0.00232549
3.35103	-0.00135037	0.00135036
3.76991	-0.00118251	0.00118251
4.18879	-0.00211059	0.00211058
4.60767	-0.00426212	0.00426212
5.02655	-0.00744954	0.00744953
5.44543	-0.0106309	0.0106309
5.86431	-0.0118861	0.0118861
6.28319	-0.01077	0.01077
