k-path	energy(ev)
-0.5	-2.81246
-0.5	-2.47503
-0.5	-2.475
-0.5	-2.47499
-0.5	-2.47497
-0.5	-2.47245
-0.5	-2.47237
-0.5	-2.47233
-0.5	-2.47224
-0.5	-2.46817
-0.5	-2.46799
-0.5	-2.4679
-0.5	-2.4677
-0.5	-2.46221
-0.5	-2.46188
-0.5	-2.46172
-0.5	-2.46137
-0.5	-2.45457
-0.5	-2.45406
-0.5	-2.45381
-0.5	-2.45328
-0.5	-2.44529
-0.5	-2.44458
-0.5	-2.44421
-0.5	-2.44346
-0.5	-2.4344
-0.5	-2.43346
-0.5	-2.43296
-0.5	-2.43197
-0.5	-2.42195
-0.5	-2.42075
-0.5	-2.42011
-0.5	-2.41885
-0.5	-2.40797
-0.5	-2.40651
-0.5	-2.40569
-0.5	-2.40416
-0.5	-2.39253
-0.5	-2.39079
-0.5	-2.38979
-0.5	-2.38797
-0.5	-2.37569
-0.5	-2.37367
-0.5	-2.37246
-0.5	-2.37035
-0.5	-2.35751
-0.5	-2.35521
-0.5	-2.35377
-0.5	-2.35139
-0.5	-2.33807
-0.5	-2.3355
-0.5	-2.33382
-0.5	-2.33116
-0.5	-2.31746
-0.5	-2.31464
-0.5	-2.31269
-0.5	-2.30978
-0.5	-2.29576
-0.5	-2.29271
-0.5	-2.29048
-0.5	-2.28733
-0.5	-2.27309
-0.5	-2.26982
-0.5	-2.26729
-0.5	-2.26394
-0.5	-2.24953
-0.5	-2.24609
-0.5	-2.24325
-0.5	-2.23971
-0.5	-2.22522
-0.5	-2.22162
-0.5	-2.21846
-0.5	-2.21478
-0.5	-2.20027
-0.5	-2.19656
-0.5	-2.19306
-0.5	-2.18928
-0.5	-2.17482
-0.5	-2.17103
-0.5	-2.16719
-0.5	-2.16334
-0.5	-2.149
-0.5	-2.14517
-0.5	-2.14099
-0.5	-2.13711
-0.5	-2.12296
-0.5	-2.11914
-0.5	-2.11461
-0.5	-2.11075
-0.5	-2.09685
-0.5	-2.09308
-0.5	-2.0882
-0.5	-2.08441
-0.5	-2.07083
-0.5	-2.06715
-0.5	-2.06195
-0.5	-2.05827
-0.5	-2.04507
-0.5	-2.04152
-0.5	-2.036
-0.5	-2.03247
-0.5	-2.01973
-0.5	-2.01636
-0.5	-2.01055
-0.5	-2.00721
-0.5	-1.995
-0.5	-1.99184
-0.5	-1.98577
-0.5	-1.98266
-0.5	-1.97104
-0.5	-1.96812
-0.5	-1.96184
-0.5	-1.95899
-0.5	-1.94803
-0.5	-1.94539
-0.5	-1.93895
-0.5	-1.93638
-0.5	-1.92616
-0.5	-1.92381
-0.5	-1.91727
-0.5	-1.91502
-0.5	-1.90559
-0.5	-1.90355
-0.5	-1.897
-0.5	-1.89506
-0.5	-1.8865
-0.5	-1.88478
-0.5	-1.8783
-0.5	-1.87669
-0.5	-1.86905
-0.5	-1.86764
-0.5	-1.86134
-0.5	-1.86005
-0.5	-1.8534
-0.5	-1.8523
-0.5	-1.84629
-0.5	-1.8453
-0.5	-1.83969
-0.5	-1.83887
-0.5	-1.83329
-0.5	-1.83258
-0.5	-1.82805
-0.5	-1.82747
-0.5	-1.82246
-0.5	-1.82199
-0.5	-1.81858
-0.5	-1.81821
-0.5	-1.81392
-0.5	-1.81365
-0.5	-1.81135
-0.5	-1.81116
-0.5	-1.80775
-0.5	-1.80763
-0.5	-1.8064
-0.5	-1.80632
-0.5	-1.80402
-0.5	-1.80399
-0.5	-1.80363
-0.5	-1.80361
-0.5	-1.21246
-0.5	1.21246
-0.5	1.80361
-0.5	1.80363
-0.5	1.80399
-0.5	1.80402
-0.5	1.80632
-0.5	1.8064
-0.5	1.80763
-0.5	1.80775
-0.5	1.81116
-0.5	1.81135
-0.5	1.81365
-0.5	1.81392
-0.5	1.81821
-0.5	1.81858
-0.5	1.82199
-0.5	1.82246
-0.5	1.82747
-0.5	1.82805
-0.5	1.83258
-0.5	1.83329
-0.5	1.83887
-0.5	1.83969
-0.5	1.8453
-0.5	1.84629
-0.5	1.8523
-0.5	1.8534
-0.5	1.86005
-0.5	1.86134
-0.5	1.86764
-0.5	1.86905
-0.5	1.87669
-0.5	1.8783
-0.5	1.88478
-0.5	1.8865
-0.5	1.89506
-0.5	1.897
-0.5	1.90355
-0.5	1.90559
-0.5	1.91502
-0.5	1.91727
-0.5	1.92381
-0.5	1.92616
-0.5	1.93638
-0.5	1.93895
-0.5	1.94539
-0.5	1.94803
-0.5	1.95899
-0.5	1.96184
-0.5	1.96812
-0.5	1.97104
-0.5	1.98266
-0.5	1.98577
-0.5	1.99184
-0.5	1.995
-0.5	2.00721
-0.5	2.01055
-0.5	2.01636
-0.5	2.01973
-0.5	2.03247
-0.5	2.036
-0.5	2.04152
-0.5	2.04507
-0.5	2.05827
-0.5	2.06195
-0.5	2.06715
-0.5	2.07083
-0.5	2.08441
-0.5	2.0882
-0.5	2.09308
-0.5	2.09685
-0.5	2.11075
-0.5	2.11461
-0.5	2.11914
-0.5	2.12296
-0.5	2.13711
-0.5	2.14099
-0.5	2.14517
-0.5	2.149
-0.5	2.16334
-0.5	2.16719
-0.5	2.17103
-0.5	2.17482
-0.5	2.18928
-0.5	2.19306
-0.5	2.19656
-0.5	2.20027
-0.5	2.21478
-0.5	2.21846
-0.5	2.22162
-0.5	2.22522
-0.5	2.23971
-0.5	2.24325
-0.5	2.24609
-0.5	2.24953
-0.5	2.26394
-0.5	2.26729
-0.5	2.26982
-0.5	2.27309
-0.5	2.28733
-0.5	2.29048
-0.5	2.29271
-0.5	2.29576
-0.5	2.30978
-0.5	2.31269
-0.5	2.31464
-0.5	2.31746
-0.5	2.33116
-0.5	2.33382
-0.5	2.3355
-0.5	2.33807
-0.5	2.35139
-0.5	2.35377
-0.5	2.35521
-0.5	2.35751
-0.5	2.37035
-0.5	2.37246
-0.5	2.37367
-0.5	2.37569
-0.5	2.38797
-0.5	2.38979
-0.5	2.39079
-0.5	2.39253
-0.5	2.40416
-0.5	2.40569
-0.5	2.40651
-0.5	2.40797
-0.5	2.41885
-0.5	2.42011
-0.5	2.42075
-0.5	2.42195
-0.5	2.43197
-0.5	2.43296
-0.5	2.43346
-0.5	2.4344
-0.5	2.44346
-0.5	2.44421
-0.5	2.44458
-0.5	2.44529
-0.5	2.45328
-0.5	2.45381
-0.5	2.45406
-0.5	2.45457
-0.5	2.46137
-0.5	2.46172
-0.5	2.46188
-0.5	2.46221
-0.5	2.4677
-0.5	2.4679
-0.5	2.46799
-0.5	2.46817
-0.5	2.47224
-0.5	2.47233
-0.5	2.47237
-0.5	2.47245
-0.5	2.47497
-0.5	2.47499
-0.5	2.475
-0.5	2.47503
-0.5	2.81246
-0.495	-2.81171
-0.495	-2.47447
-0.495	-2.47445
-0.495	-2.47444
-0.495	-2.47441
-0.495	-2.4719
-0.495	-2.47181
-0.495	-2.47177
-0.495	-2.47168
-0.495	-2.46762
-0.495	-2.46743
-0.495	-2.46734
-0.495	-2.46714
-0.495	-2.46165
-0.495	-2.46132
-0.495	-2.46116
-0.495	-2.46081
-0.495	-2.45402
-0.495	-2.45351
-0.495	-2.45326
-0.495	-2.45272
-0.495	-2.44474
-0.495	-2.44403
-0.495	-2.44366
-0.495	-2.44291
-0.495	-2.43386
-0.495	-2.43291
-0.495	-2.43242
-0.495	-2.43142
-0.495	-2.42141
-0.495	-2.42021
-0.495	-2.41956
-0.495	-2.41831
-0.495	-2.40743
-0.495	-2.40597
-0.495	-2.40516
-0.495	-2.40362
-0.495	-2.392
-0.495	-2.39026
-0.495	-2.38925
-0.495	-2.38744
-0.495	-2.37516
-0.495	-2.37314
-0.495	-2.37193
-0.495	-2.36982
-0.495	-2.35698
-0.495	-2.35469
-0.495	-2.35325
-0.495	-2.35086
-0.495	-2.33755
-0.495	-2.33498
-0.495	-2.3333
-0.495	-2.33064
-0.495	-2.31694
-0.495	-2.31412
-0.495	-2.31217
-0.495	-2.30926
-0.495	-2.29525
-0.495	-2.2922
-0.495	-2.28997
-0.495	-2.28682
-0.495	-2.27258
-0.495	-2.26932
-0.495	-2.26679
-0.495	-2.26344
-0.495	-2.24904
-0.495	-2.24559
-0.495	-2.24275
-0.495	-2.23922
-0.495	-2.22473
-0.495	-2.22113
-0.495	-2.21797
-0.495	-2.21429
-0.495	-2.19979
-0.495	-2.19608
-0.495	-2.19258
-0.495	-2.1888
-0.495	-2.17435
-0.495	-2.17056
-0.495	-2.16672
