kx	Py(up)	Py(down)
0.	0.00593703	-0.00593703
0.0622098	0.00596009	-0.00596009
0.12442	0.00602988	-0.00602988
0.186629	0.00614831	-0.00614831
0.248839	0.00631864	-0.00631864
0.311049	0.0065457	-0.0065457
0.373259	0.0068361	-0.0068361
0.435468	0.00719863	-0.00719863
0.497678	0.00764476	-0.00764476
0.559888	0.00818932	-0.00818932
0.622098	0.00885142	-0.00885142
0.684307	0.00965574	-0.00965574
0.746517	0.0106342	-0.0106342
0.808727	0.0118282	-0.0118282
0.870937	0.0132918	-0.0132918
0.933146	0.0150958	-0.0150958
0.995356	0.0173328	-0.0173328
1.05757	0.0201238	-0.0201238
1.11978	0.0236261	-0.0236261
1.18199	0.0280394	-0.0280394
1.2442	0.033608	-0.033608
1.3064	0.0406105	-0.0406105
1.36861	0.0493207	-0.0493207
1.43082	0.0599265	-0.0599265
1.49303	0.0724038	-0.0724038
1.55524	0.0863889	-0.0863889
1.61745	0.101147	-0.101147
1.67966	0.115709	-0.115709
1.74187	0.12913	-0.12913
1.80408	0.140699	-0.140699
1.86629	0.150018	-0.150018
1.9285	0.15695	-0.15695
1.99071	0.161533	-0.161533
2.05292	0.1639	-0.1639
2.11513	0.164229	-0.164229
2.17734	0.162723	-0.162723
2.23955	0.1596	-0.1596
2.30176	0.155102	-0.155102
2.36397	0.149494	-0.149494
2.42618	0.143067	-0.143067
2.48839	0.136131	-0.136131
2.5506	0.129	-0.129
2.61281	0.121971	-0.121971
2.67502	0.115305	-0.115305
2.73723	0.109212	-0.109212
2.79944	0.103846	-0.103846
2.86165	0.0993058	-0.0993058
2.92386	0.0956489	-0.0956489
2.98607	0.0929011	-0.0929011
3.04828	0.0910702	-0.0910702
3.11049	0.0901558	-0.0901558
3.1727	0.0901558	-0.0901558
3.23491	0.0910702	-0.0910702
3.29712	0.0929011	-0.0929011
3.35933	0.0956489	-0.0956489
3.42154	0.0993058	-0.0993058
3.48375	0.103846	-0.103846
3.54596	0.109212	-0.109212
3.60817	0.115305	-0.115305
3.67038	0.121971	-0.121971
3.73259	0.129	-0.129
3.7948	0.136131	-0.136131
3.857	0.143067	-0.143067
3.91921	0.149494	-0.149494
3.98142	0.155102	-0.155102
4.04363	0.1596	-0.1596
4.10584	0.162723	-0.162723
4.16805	0.164229	-0.164229
4.23026	0.1639	-0.1639
4.29247	0.161533	-0.161533
4.35468	0.15695	-0.15695
4.41689	0.150018	-0.150018
4.4791	0.140699	-0.140699
4.54131	0.12913	-0.12913
4.60352	0.115709	-0.115709
4.66573	0.101147	-0.101147
4.72794	0.0863889	-0.0863889
4.79015	0.0724038	-0.0724038
4.85236	0.0599265	-0.0599265
4.91457	0.0493207	-0.0493207
4.97678	0.0406105	-0.0406105
5.03899	0.033608	-0.033608
5.1012	0.0280394	-0.0280394
5.16341	0.0236261	-0.0236261
5.22562	0.0201238	-0.0201238
5.28783	0.0173328	-0.0173328
5.35004	0.0150958	-0.0150958
5.41225	0.0132918	-0.0132918
5.47446	0.0118282	-0.0118282
5.53667	0.0106342	-0.0106342
5.59888	0.00965574	-0.00965574
5.66109	0.00885142	-0.00885142
5.7233	0.00818932	-0.00818932
5.78551	0.00764476	-0.00764476
5.84772	0.00719863	-0.00719863
5.90993	0.0068361	-0.0068361
5.97214	0.0065457	-0.0065457
6.03435	0.00631864	-0.00631864
6.09656	0.00614831	-0.00614831
6.15877	0.00602988	-0.00602988
6.22098	0.00596009	-0.00596009
6.28319	0.00593703	-0.00593703
