kx	Px(up)	Px(down)
0.	0.00407372	-0.00407372
0.0622098	0.00409019	-0.00409019
0.12442	0.00414005	-0.00414005
0.186629	0.00422473	-0.00422473
0.248839	0.00434669	-0.00434669
0.311049	0.00450955	-0.00450955
0.373259	0.00471832	-0.00471832
0.435468	0.00497969	-0.00497969
0.497678	0.00530242	-0.00530242
0.559888	0.00569794	-0.00569794
0.622098	0.00618114	-0.00618114
0.684307	0.0067714	-0.0067714
0.746517	0.00749413	-0.00749413
0.808727	0.00838283	-0.00838283
0.870937	0.00948195	-0.00948195
0.933146	0.0108509	-0.0108509
0.995356	0.0125695	-0.0125695
1.05757	0.0147457	-0.0147457
1.11978	0.0175249	-0.0175249
1.18199	0.0211019	-0.0211019
1.2442	0.0257323	-0.0257323
1.3064	0.0317359	-0.0317359
1.36861	0.039478	-0.039478
1.43082	0.0492987	-0.0492987
1.49303	0.0613636	-0.0613636
1.55524	0.0754505	-0.0754505
1.61745	0.0907963	-0.0907963
1.67966	0.106187	-0.106187
1.74187	0.120311	-0.120311
1.80408	0.132135	-0.132135
1.86629	0.141066	-0.141066
1.9285	0.146893	-0.146893
1.99071	0.149649	-0.149649
2.05292	0.149503	-0.149503
2.11513	0.1467	-0.1467
2.17734	0.141548	-0.141548
2.23955	0.134429	-0.134429
2.30176	0.125807	-0.125807
2.36397	0.116226	-0.116226
2.42618	0.106263	-0.106263
2.48839	0.0964667	-0.0964667
2.5506	0.0872864	-0.0872864
2.61281	0.0790286	-0.0790286
2.67502	0.0718536	-0.0718536
2.73723	0.0658029	-0.0658029
2.79944	0.0608397	-0.0608397
2.86165	0.0568866	-0.0568866
2.92386	0.0538545	-0.0538545
2.98607	0.0516599	-0.0516599
3.04828	0.0502358	-0.0502358
3.11049	0.0495355	-0.0495355
3.1727	0.0495355	-0.0495355
3.23491	0.0502358	-0.0502358
3.29712	0.0516599	-0.0516599
3.35933	0.0538545	-0.0538545
3.42154	0.0568866	-0.0568866
3.48375	0.0608397	-0.0608397
3.54596	0.0658029	-0.0658029
3.60817	0.0718536	-0.0718536
3.67038	0.0790286	-0.0790286
3.73259	0.0872864	-0.0872864
3.7948	0.0964667	-0.0964667
3.857	0.106263	-0.106263
3.91921	0.116226	-0.116226
3.98142	0.125807	-0.125807
4.04363	0.134429	-0.134429
4.10584	0.141548	-0.141548
4.16805	0.1467	-0.1467
4.23026	0.149503	-0.149503
4.29247	0.149649	-0.149649
4.35468	0.146893	-0.146893
4.41689	0.141066	-0.141066
4.4791	0.132135	-0.132135
4.54131	0.120311	-0.120311
4.60352	0.106187	-0.106187
4.66573	0.0907963	-0.0907963
4.72794	0.0754505	-0.0754505
4.79015	0.0613636	-0.0613636
4.85236	0.0492987	-0.0492987
4.91457	0.039478	-0.039478
4.97678	0.0317359	-0.0317359
5.03899	0.0257323	-0.0257323
5.1012	0.0211019	-0.0211019
5.16341	0.0175249	-0.0175249
5.22562	0.0147457	-0.0147457
5.28783	0.0125695	-0.0125695
5.35004	0.0108509	-0.0108509
5.41225	0.00948195	-0.00948195
5.47446	0.00838283	-0.00838283
5.53667	0.00749413	-0.00749413
5.59888	0.0067714	-0.0067714
5.66109	0.00618114	-0.00618114
5.7233	0.00569794	-0.00569794
5.78551	0.00530242	-0.00530242
5.84772	0.00497969	-0.00497969
5.90993	0.00471832	-0.00471832
5.97214	0.00450955	-0.00450955
6.03435	0.00434669	-0.00434669
6.09656	0.00422473	-0.00422473
6.15877	0.00414005	-0.00414005
6.22098	0.00409019	-0.00409019
6.28319	0.00407372	-0.00407372
