kx	Py(up)	Py(down)
0.	0.130333	-0.130333
0.0622098	0.129951	-0.129951
0.12442	0.128817	-0.128817
0.186629	0.126974	-0.126974
0.248839	0.124487	-0.124487
0.311049	0.121442	-0.121442
0.373259	0.11794	-0.11794
0.435468	0.114088	-0.114088
0.497678	0.109996	-0.109996
0.559888	0.105768	-0.105768
0.622098	0.1015	-0.1015
0.684307	0.0972743	-0.0972743
0.746517	0.0931592	-0.0931592
0.808727	0.0892077	-0.0892077
0.870937	0.0854593	-0.0854593
0.933146	0.081941	-0.081941
0.995356	0.0786692	-0.0786692
1.05757	0.075652	-0.075652
1.11978	0.0728909	-0.0728909
1.18199	0.070383	-0.070383
1.2442	0.0681217	-0.0681217
1.3064	0.0660986	-0.0660986
1.36861	0.0643042	-0.0643042
1.43082	0.0627282	-0.0627282
1.49303	0.0613607	-0.0613607
1.55524	0.0601918	-0.0601918
1.61745	0.0592125	-0.0592125
1.67966	0.0584144	-0.0584144
1.74187	0.0577897	-0.0577897
1.80408	0.0573316	-0.0573316
1.86629	0.0570338	-0.0570338
1.9285	0.0568908	-0.0568908
1.99071	0.0568972	-0.0568972
2.05292	0.057048	-0.057048
2.11513	0.0573379	-0.0573379
2.17734	0.0577611	-0.0577611
2.23955	0.058311	-0.058311
2.30176	0.0589795	-0.0589795
2.36397	0.0597567	-0.0597567
2.42618	0.06063	-0.06063
2.48839	0.0615838	-0.0615838
2.5506	0.0625989	-0.0625989
2.61281	0.0636522	-0.0636522
2.67502	0.0647163	-0.0647163
2.73723	0.0657603	-0.0657603
2.79944	0.0667497	-0.0667497
2.86165	0.0676488	-0.0676488
2.92386	0.0684218	-0.0684218
2.98607	0.0690354	-0.0690354
3.04828	0.0694616	-0.0694616
3.11049	0.06968	-0.06968
3.1727	0.06968	-0.06968
3.23491	0.0694616	-0.0694616
3.29712	0.0690354	-0.0690354
3.35933	0.0684218	-0.0684218
3.42154	0.0676488	-0.0676488
3.48375	0.0667497	-0.0667497
3.54596	0.0657603	-0.0657603
3.60817	0.0647163	-0.0647163
3.67038	0.0636522	-0.0636522
3.73259	0.0625989	-0.0625989
3.7948	0.0615838	-0.0615838
3.857	0.06063	-0.06063
3.91921	0.0597567	-0.0597567
3.98142	0.0589795	-0.0589795
4.04363	0.058311	-0.058311
4.10584	0.0577611	-0.0577611
4.16805	0.0573379	-0.0573379
4.23026	0.057048	-0.057048
4.29247	0.0568972	-0.0568972
4.35468	0.0568908	-0.0568908
4.41689	0.0570338	-0.0570338
4.4791	0.0573316	-0.0573316
4.54131	0.0577897	-0.0577897
4.60352	0.0584144	-0.0584144
4.66573	0.0592125	-0.0592125
4.72794	0.0601918	-0.0601918
4.79015	0.0613607	-0.0613607
4.85236	0.0627282	-0.0627282
4.91457	0.0643042	-0.0643042
4.97678	0.0660986	-0.0660986
5.03899	0.0681217	-0.0681217
5.1012	0.070383	-0.070383
5.16341	0.0728909	-0.0728909
5.22562	0.075652	-0.075652
5.28783	0.0786692	-0.0786692
5.35004	0.081941	-0.081941
5.41225	0.0854593	-0.0854593
5.47446	0.0892077	-0.0892077
5.53667	0.0931592	-0.0931592
5.59888	0.0972743	-0.0972743
5.66109	0.1015	-0.1015
5.7233	0.105768	-0.105768
5.78551	0.109996	-0.109996
5.84772	0.114088	-0.114088
5.90993	0.11794	-0.11794
5.97214	0.121442	-0.121442
6.03435	0.124487	-0.124487
6.09656	0.126974	-0.126974
6.15877	0.128817	-0.128817
6.22098	0.129951	-0.129951
6.28319	0.130333	-0.130333
